place-id,place-name,place-type,entry-fee,lat-long,operational-hour,address,place-rating,status,operational-day,place-ownership,description
13,Geosite Sipinsur,Wisata Alam,5.000 - 10.000,"2.3293591970762058, 98.88132952351594",07.00 - 23.00,"Parulohan, Kec. Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara 22476","4,6",beroperasi,,,
14,Wisata Rumah Pohon,Wisata Alam,5.000 - 10.000,"2.3516819530447366, 99.02520953701003",24 jam,"922G+H4F, Jl. Raya TaraBunga, Tara Bunga, Kec. Tampahan, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
15,Air Terjun Situmurun,Wisata Alam,5.000 - 10.000,"2.537730210260568, 99.00801408303306",08.00 - 17.00,"Jonggi Nihuta, Hatinggian, Kec. Lumban Julu, Toba, Sumatera Utara 22386","4,6",beroperasi,,,
16,Batu Basiha,Wisata Alam,Gratis,"2.3516819530447366, 99.02520953701003",24 jam,"825R+VFP, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
17,Air Terjun Sigura-Gura,Wisata Alam,10.000 - 20.000,"2.5557703317675244, 99.30466568874047",24 jam ,"H833+VRV, Halado, Kec. Pintu Pohan Merant, Toba, Sumatera Utara 21274","4,4",beroperasi,,,
18,Puncak Huta Ginjang,Wisata Alam,5.000 - 10.000,"2.3150877594981343, 98.971055240704",24 jam ,"8X7C+WCJ, Sitanggor, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476","4,7",beroperasi,,,
19,Pantai Parparean 2,Wisata Alam,5.000 - 10.000,"2.4338404807113827, 99.14819682536269",08.00 - 18.00,"C4MX+F73, Jl. Lintas Sumatera, Patane V, Kec. Porsea, Toba, Sumatera Utara 22384","4,5",beroperasi,,,
20,Boli Boli Hot Spring,Wisata Alam,"70,000","2.075401772091245, 98.94415589285848",24 jam ,"Situmeang Hasundutan, Kec. Sipoholon, Kabupaten Tapanuli Utara, Sumatera Utara 22452","4,2",beroperasi,,,
21,Bukit Senyum,Wisata Alam,Gratis,"2.6360931627435993, 98.92099197166834",24 jam,"JWPC+8C4, Motung, Kec. Ajibata, Toba, Sumatera Utara","4,7",beroperasi,,,
22,Bukit Tara Bunga,Wisata Alam,5.000 - 10.000,"2.3447653283281955, 99.01720650450753",24 jam ,"82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
23,Panorama Adian Nalambok,Wisata Alam,Gratis,"2.307646460798102, 99.01332381186874",08.00 - 21.00,"8247+X8, Jl. Lintas Sumatera No.126, Gurgur Aek Raja, Kec. Tampahan, Toba, Sumatera Utara 22312",4.4,beroperasi,,,
24,Arung Jeram Desa Parhitean,Wisata Alam,Gratis,"2.5614011254221576, 99.34421355767306",09.00 - 17.00,"H86V+CM, Jalan Lintas Sigura - Gura, Parhitean, North Meranti, Pintu Pohan Merant, Toba, North Sumatra 21274",5,beroperasi,,,
25,Pantai Lumban Silintong,Wisata Alam,Gratis,"2.341517594609889, 99.05024732383258",24 jam," 83R2+F4, Lumban Silintong, Kec. Balige, Sumatera Utara",5,beroperasi,,,
26,Pantai Pakkodian Tampahan,Wisata Alam,Gratis,"2.339909734703453, 99.01346289685164",24 jam,"82Q7+R9, Danau Toba, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312 ",4.5,beroperasi,,,
27,Wisata Alam Fishing-Camp Siarubung,Wisata Alam,10.000 - 50.000,"2.5636442248775824, 98.66078169814436",24 jam,"HM76+88, Turpuk Limbong, Kec. Harian, Kabupaten Samosir, Sumatera Utara",4.9,beroperasi,,,
28,Air Terjun Binanga Bolon,Wisata Alam,Gratis,"2.846344777940582, 98.72883816801654",24 jam,"RPWH+FG , Pua Dolok, Kec. Pua, Kabupaten Simalungun, Sumatera Utara 21165 ",4.6,beroperasi,,,
29,Air Terjun Sigarattung,Wisata Alam,5.000 - 10.000,"2.6103417399774993, 98.86415213917927",24 jam,"JV67+2MF, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.5,beroperasi,,,
30,Batu Marhosa,Wisata Alam,Gratis,"2.6043970438755335, 98.86803312883649",24 jam,"JV39+M62, Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.2,beroperasi,,,
31,Danau Sidihoni,Wisata Alam,Gratis,"2.603283367624243, 98.74502128405312",24 jam,"Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara",4.4,beroperasi,,,
32,Bukit Sidihoni,Wisata Alam,5.000 - 10.000,"2.6095052754175807, 98.74926526447645",24 jam,"JP4X+3HP, Sidihoni atas, Salaon Toba, Kec. Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara 22392",4.6,beroperasi,,,
33,Cottage Aek Tawar Sari,Wisata Alam,Gratis,"2.5884552399094702, 98.78133438465389",24 jam,"HQQJ+8H Ronggur Nihuta, Kabupaten Samosir, Sumatera Utara",4.8,beroperasi,,,
34,Panorama Lembah Bakara,Wisata Alam,Gratis,"2.3424092944384154, 98.85931056801523",24 jam,"8VR5+VP, Huta Lontung, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara",5,beroperasi,,,
35,Bukit Simargulang Ombun,Wisata Alam,5.000 - 10.000,"2.5064715317725974, 98.73868626615997",24 jam,"GP4Q+GG6, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara",4.4,beroperasi,,,
36,Bukit Sipatungan,Wisata Alam,Gratis,"2.4275610304959483, 98.79325043567833",24 jam,"CQGV+X8C, Sabulan, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara",4.5,beroperasi,,,
37,Air Terjun Sitapigagan,Wisata Alam,Gratis,"2.6396408813041736, 98.60949392383327",09.00 - 17.00,"JJQ5+QR, Bonan Dolok, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.5,beroperasi,,,
38,Singgolom,Wisata Alam,Gratis,"2.3431003768010132, 99.01763849999999",24 jam,"Jl. Singgolom Raya, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312 82V9+43 ",4.8,beroperasi,,,
39,Puncak Panorama Aek Nauli,Wisata Alam,Gratis,"2.708924735313688, 98.93050015452565",24 jam,"PW5J+F55, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",4.6,beroperasi,,,
40,Pusat Informasi Toba Caldera UNESCO Global Geopark,Wisata Alam,"10,000","2.5937630364402873, 98.63350395266976",09.00 - 17.00,"HJVM+CCF, Sigulatti, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.6,beroperasi,,,
41,Caldera toba nomadic escape (glamour camping),Wisata Alam,5.000 - 40.000,"2.6080342986728144, 98.94603542383321",07.00 - 18.00,"JW5W+4CX, Pardamean Sibisa, Kec. Ajibata, Toba, Sumatera Utara 22386",4.5,beroperasi,,,
42,Bukit Holbung,Wisata Alam,5.000 - 15.000,"2.5305337914347272, 98.69783122383308",24 jam ,"Hariara Pohan, Kec. Harian, Kabupaten Samosir, Sumatera Utara GMJX+45",4.7,beroperasi,,,
43,Batu lihi star,Wisata Alam,5.000 - 10.000,"2.7790376217041697, 98.8200177116348",10.00 - 19.15,"QRHC+G25, Jl. Pematang Pua - Parapat, Pematang Tambun Raya, Kec. Pematang Sidamanik, Kabupaten Simalungun, Sumatera Utara 21186",4.3,beroperasi,,,
44,Batu Maroppa,Wisata Alam,Gratis,"2.4812855354916366, 98.71560298336162",24 jam,"FPJ8+C6P, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391",4.5,beroperasi,,,
45,Togaraja,Wisata Alam,5.000 - 15.000,"2.527979612533262, 98.6521317680156",24 jam,"GMJ3+24, Partungko Naginjang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22391",4.7,beroperasi,,,
46,Pantai Pulo Tao,Wisata Alam,Gratis,"2.757012591263358, 98.73455648336235",09.00 - 17.30,"Sitalolo No.Desa, Cinta Dame, Simanindo, Samosir Regency, North Sumatra 22395 QP4M+PR",4.5,beroperasi,,,
47,Desa Wisata Sigapiton,Wisata Alam,Gratis,"2.60058812427431, 98.92950331219843",07.00 - 18.00,"JW2H+4QP, Unnamed Road, Motung, Ajibata, Toba, North Sumatra 22386",4.6,beroperasi,,,
48,Menara Pandang Simanindo,Wisata Alam,5.000 - 7.000,"2.7483294426395792, 98.75034042383369",24 jam,"PQX2+656, Simanindo Sangkal, Simanindo, Kabupaten Samosir, Sumatera Utara",4.5,beroperasi,,,
49,Bukit Burung,Wisata Alam,Gratis,"2.632008605398129, 98.65494368336203",24 jam,"JMJ3+MXF, Siboro, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara",4.8,beroperasi,,,
50,Air Terjun Tombak Pangaribuan,Wisata Alam,Gratis,"2.531858219807868, 98.81674159499656",24 jam,"GRJ8+JPW, Palipi, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393",4,beroperasi,,,
51,Pantai Silalahi,Wisata Alam,Gratis,"2.79491108652294, 98.52778616616071",08.00 - 20.00,"QGVH+V4Q, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara",4.4,beroperasi,,,
52,Aek Rangat Pangururan,Wisata Alam,10.000 - 15.000,"2.618962358400672, 98.67544479814435",24 jam,"JM9G+F6 Aek Rangat, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392",4.3,beroperasi,,,
53,PENATAPAN PARHALLOW SIGARANTUNG,Wisata Alam,Gratis,"2.6175988678473545, 98.87228558150626",08.00 - 23.00,"JV8C+WWW, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.6,beroperasi,,,
54,Batu Gantung,Wisata Alam,15.000 - 20.000,"2.6886712399767156, 98.92425658150654",09.30 - 17.30,"MWQF+9P3 Lake Toba, Kabupaten Simalungun, Sumatera Utara 21174",4.5,beroperasi,,,
55,Gunung Pusuk Buhit,Wisata Alam,Gratis,"2.6008269597984164, 98.65154563917919",24 jam,"JM22+6J8, Ginolat, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.7,beroperasi,,,
56,Bukit Sipolha,Wisata Alam,5.000 - 10.000,"2.7351674458357733, 98.85938732754488",24 jam,"PVM5+XP3 Bukit Sipolha, Sipolha Horison, Pematang Sidamanik, Simalungun Regency, North Sumatra 21186",4.6,beroperasi,,,
57,Air Terjun Janji,Wisata Alam,Sukarela,"2.339668555177338, 98.81571392383263",24 jam,"8RQ8+Q8 Tipang, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",4.6,beroperasi,,,
58,Gua Liang Sipege,Wisata Budaya / Sejarah,Gratis,"2.308890280711529, 99.10179902568808",24 jam ,"8452+FP3, Hutagaol Peatalun, Kec. Balige, Toba, Sumatera Utara 22312","4,8",beroperasi,,,
59,Monumen Raja SONAKMALELA,Wisata Budaya / Sejarah,Gratis,"2.334519775687315, 99.06660872383264", 24 jam,"83M8+MMM, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara","4,4",beroperasi,,,
60,Makam Sisingamangaraja XII,Wisata Budaya / Sejarah,Gratis,"2.331051116577472, 99.04944102568821",24 jam ,"82JX+8Q3, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
61,Desa Adat Ragi Hotang,Wisata Budaya / Sejarah,Gratis,"2.318298678713521, 99.00482579685168",24 jam,"8293+6WP, Meat, Kec. Tampahan, Toba, Sumatera Utara 22312","4,5",beroperasi,,,
62,Monumen Perang Dunia II,Wisata Budaya / Sejarah,Gratis,"2.44362767701753, 99.15616068465391",24 jam,"C5V4+8FW, Jl. Porsea, Ps. Porsea, Kec. Porsea, Toba, Sumatera Utara 22384",4.2,beroperasi,,,
63,Monumen D.I. Panjaitan ,Wisata Budaya / Sejarah,Gratis,"2.3349104174722743, 99.06404724271351",24 jam,"83M7+RJ4, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara",4.8,tutup,,,
64,Mual Sipangolu (Mual Sisingamangaraja),Wisata Budaya / Sejarah,Gratis,"2.3210405210871796, 99.07007489814437",24 jam,"8RFW+HF7, Jl. Muara Aek Sipangolu, Simangulampe, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",4.9,beroperasi,,,
65,Mual Sirambe,Wisata Budaya / Sejarah,Gratis,"2.2964703223035907, 99.11723296801506",24 jam,"84WF+FRV, Sitangkola, Kec. Laguboti, Toba, Sumatera Utara 22381",4.6,beroperasi,,,
66,Desa Wisata Tomok Parsaoran,Wisata Budaya / Sejarah,10.000 - 30.000,"2.6520233615901345, 98.86097999499678",24 jam,"Jl. Makam Sidabutar Jalan, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MV26+PC",4.3,beroperasi,,,
67,Kampung Ulos Hutaraja,Wisata Budaya / Sejarah,Gratis,"2.66421841107743, 98.68906971219853",08.00 - 17.00,"Kampung ulos, Huta Bolon, Kec. Pangururan, Kabupaten Samosir, Sulawesi Utara 22392 MM7Q+HJ",4.6,beroperasi,,,
68,Patung Sigalegale,Wisata Budaya / Sejarah,5.000 - 10.000,"2.6521028136146314, 98.86083039685249",08.00 - 19.00,"MV26+P8P, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.6,beroperasi,,,
69,Istana Raja Sisingamangaraja,Wisata Budaya / Sejarah,5.000 - 10.000,"2.306005820043636, 98.81262538336117",24 jam,"8R47+82P, Simamora, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",4.6,beroperasi,,,
70,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),Wisata Budaya / Sejarah,10.000 - 25.000,"2.6792311052576823, 98.83603599685262",08.00 - 18.00,"Siallagan Pindaraya, Jl. Lkr. Tuktuk, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MRHP+JC",4.5,beroperasi,,,
71,Sopo Guru Tatea Bulan | ᯘᯬᯇᯬ ᯎᯮᯒᯮ ᯖᯖᯩᯀ ᯅᯮᯞᯉ᯲,Wisata Budaya / Sejarah,5.000 - 10.000,"2.592258443837591, 98.6306572545253",24 jam,"HJRJ+Q7R, Sarimarrihit, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.7,beroperasi,,,
72,Rumah Pesanggrahan Bung Karno,Wisata Budaya / Sejarah,Gratis,"2.6657868624314376, 98.92642772568898",09.00 - 17.00,"Pantai mercusuar, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174 MW8G+5H",4.6,beroperasi,,,
73,Museum Huta Bolon Simanindo,Wisata Budaya / Sejarah,10.000 - 20.000,"2.752495075783331, 98.74411332568928",08.00 - 17.00,"QP2V+VJX, Jalan Pelabuhan, Simanindo Sangkal, Simanindo, Samosir Regency, North Sumatra 22395",4.2,beroperasi,,,
74,Tugu Toga Aritonang,Wisata Budaya / Sejarah,Gratis,"2.3397556153756844, 98.94192711219786",24 jam,"8WQR+RQ Desa, Dolok Martumbur, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476",4.5,beroperasi,,,
75,Pemandian Aek Sipitu Dai,Wisata Budaya / Sejarah,"10,000","2.5789980466511797, 98.64760079685229",06.00 - 23.00,"HJHX+F2X, Aek Sipitudai, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",4.3,beroperasi,,,
76,Labersa Toba Fantasi Waterpark,Wisata Buatan,40.000 - 50.000,"2.338981695097184, 99.08218332568822",09.00 - 18.00,"Jl. Saribu Raja, Saribu Raja Janji Maria, Kec. Balige, Toba, Sumatera Utara","3,7",beroperasi,,,
77,TB Silalahi Swimming Pool,Wisata Buatan,15.000 - 20.000,"2.3348257560327355, 99.0472134815056",09.00 - 18.00,"82MW+RWJ, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312","4,0",beroperasi,,,
78,Taman Eden 100,Wisata Rohani,7.500 - 15.000,"2.591312236837156, 99.03881569499666",08.00 - 18.00,"Ps. Lumban Julu, Kec. Lumban Julu, Toba, Sumatera Utara 22386","4,5",beroperasi,,,
79,Bukit Doa,Wisata Rohani,Gratis,"2.315048939426742, 98.9802962680152",24 jam ,"8X7J+W4F, Huta Ginjang, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22476","4,5",beroperasi,,,
80,Makam DR. I.L. Nommensen,Wisata Rohani,Gratis,"2.395502884111956, 99.15591323917884",24 jam,"95W4+39V, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384",4.5,beroperasi,,,
81,Gereja Tua HKBP SIgumpar,Wisata Rohani,Gratis,"2.395120284187212, 99.15735095266926",24 jam,"Jln.Pdt.DR.IL.NOMMENSEN no.1 Sigumpar, Sigumpar Dangsina, Kec. Sigumpar, Toba, Sumatera Utara 22384  95V4+WX",4.7,beroperasi,,,
82,Gereja Tua HKBP Balige,Wisata Rohani,Gratis,"2.3311701766360384, 99.06720829128471",10.00 - 16.00,"83J8+8XW, Jl. Gereja, Balige III, Kec. Balige, Toba, Sumatera Utara 22314",4.7,beroperasi,,,
83,Taman Wisata Iman Dairi,Wisata Rohani,5.000 - 20.000,"2.7321951134192015, 98.38288303917977",08.00 - 19.00,"Jalan Sidikalang - Medan No.5, Sitinjo, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara 22281 P9JM+Q5",4.3,beroperasi,,,
84,Salib Kasih Tarutung,Wisata Rohani,5.000 - 20.000,"2.01794771944091, 99.00141566801443",08.00 - 18.00,"2292+3HV, Dolok Siatas Barita, Sosunggulon, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22416",4.6,beroperasi,,,
85,"Patung Yesus, Bukit Sibeabea",Wisata Rohani,30.000 - 100.000,"2.5509849707538286, 98.67231159499654",24 jam,"HM2C+7X Turpuk Sihotang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22396",4.7,beroperasi,,,
86,Taman Wisata Goa Bunda Maria,Wisata Rohani,Gratis,"2.4926497898762787, 98.80789329499646",08.00 - 18.00,"FRR5+X58, Gorat Pallombuan, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393",4.8,beroperasi,,,
87,"Balerong - Balige, Toba Samosir, North Sumatra, Indonesia",Balai Masyarakat,Gratis,"2.3346149361375397, 99.06579032568816",24 jam ,"Jl. Lintas Sumatera No.88, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22312","4,3",beroperasi,,,
88,Museum Batak T.B. Silalahi Center,Museum ,10.000 - 20.000,"2.3333867366371246, 99.04840606801524",08.30 - 16.30,"Jl. Dr. TB. Silalahi No.88, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 20553","4,6",beroperasi,,,
89,"Batak Museum
",Museum ,Gratis,"2.6508562618035936, 98.86005155266994",08.00 - 20.00,"MV26+725, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.3,beroperasi,,,
90,Pasar Tomok,Wisata Bisnis,5.000 - 10.000,"2.652310496226617, 98.86267708336206",07.35 - 19.00,"MV27+R3C, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.4,beroperasi,,,
91,Air Terjun Lae,Wisata Alam,Gratis,"2.6119379443651214, 98.34885390213006",08.00 - 19.00,"Jl. Runding, Sidiangkat, Kec. Sidikalang, Kabupaten Dairi, Sumatera Utara 22216",4.2,beroperasi,,,
92,Panatapan Puncak Sidiangkat,Wisata Alam,Gratis,"2.6991313206258614, 98.30348574781604",24 jam,"Sitinjo I, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara 22281",4,beroperasi,,,
93,Sicike cike,Wisata Alam,Gratis,"2.6540120578481825, 98.37990464822434",09.00 - 17.00,"Sitinjo, Dairi Regency, North Sumatra 22219",4.2,beroperasi,,,
94,Batu Sigadap,Wisata Budaya / Sejarah,10.000 - 20.000,"2.8015124776057707, 98.52755453432401",24 jam,"Silalahi I, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara",4.7,beroperasi,,,
95,Rumah Adat Pak Pak,Wisata Budaya / Sejarah,Gratis,"2.797289330604585, 98.20215306315973",09.00 - 17.00,"Jl. Parongil Sepung Pelding, Bulu Duri, Kec. Lae Parira, Kabupaten Dairi, Sumatera Utara 22213",4.7,beroperasi,,,
96,Jembatan Lae Pendaroh,Wisata Buatan,10.000 - 20.000,"2.735077062165259, 98.38192129199514",24 jam,"Sidikalang-Seribudolok, Sitinjo I, Kec. Sitinjo, Kabupaten Dairi, Sumatera Utara 22281",4.1,beroperasi,,,
97,Aek Sipaulak Hosa Loja,Wisata Buatan,Gratis,"2.8010265335577316, 98.50145103617437",08.30 - 18.30,"Silalahi 1, Paropo, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara 22281",4.6,beroperasi,,,
98,Letter Z,Wisata Buatan,"25,000","2.8373610108088347, 98.25859632083154",24 jam,"Pangaribuan, Siempat Nempu Hulu, Dairi Regency, North Sumatra Utara",4.1,beroperasi,,,
99,Parhonasan,Wisata Buatan,Gratis,"2.8076761801605605, 98.1821342409364",08.30 - 18.00,"Sempung Polling, Lae Parira, Dairi Regency, North Sumatra 22281",4.2,beroperasi,,,
100,Tombak Sulusulu,Wisata Alam,Gratis,"2.30799480099924, 98.80609313432093",24 jam,"Marbun Tonga Marbun Dolok, Bakti Raja, Simamora, Humbang Hasundutan, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",4.5,beroperasi,,,
101,Aek Bath Sitio-tio,Wisata Alam,Gratis,"2.3036644824882817, 98.80432723432095",24 jam,"Sitio-Tio,, Siunong Unong Julu, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",4.5,beroperasi,,,
102,Air Terjun Simolap,Wisata Alam,Gratis,"2.2711197303957404, 98.51857442082807",24 jam,"Sibongkare, Tara bintang, Humbang Hasundutan Regency, North Sumatra 22456",4.9,beroperasi,,,
103,Simamora Island,Wisata Alam,Gratis,"2.3440367210437554, 98.82336422082844",24 jam,"Tipang, Bakti Raja, Humbang Hasundutan Regency, North Sumatra",5,beroperasi,,,
104,Air Terjun Pollung,Wisata Alam,Gratis,"2.1312944261352422, 98.54417190733461",24 jam,"Purba Baringin, Pakkat, Humbang Hasundutan Regency, North Sumatra 22455",4.2,beroperasi,,,
105,Bakkara Village,Wisata Alam,Gratis,"2.309688894662536, 98.80873650396826",24 jam,"Simamora, Bakti Raja, Humbang Hasundutan Regency, North Sumatra 22457",4.8,beroperasi,,,
106,Tao Sipinggan,Wisata Alam,Gratis,"2.2578571488739394, 98.85484469384257",24 jam,"Pargaulan, Lintong Nihuta, Humbang Hasundutan Regency, North Sumatra 22475",5,beroperasi,,,
107,Air Terjun Sigota gota Sipultak Hoda,Wisata Alam,Gratis,"2.3559239918217845, 98.80575426315701",24 jam,"Tipang, Dolok sanggul, Humbang Hasundutan Regency,",4.6,beroperasi,,,
108,Dolok Pottas,Wisata Alam,Gratis,"2.2384191313836848, 98.45567430548473",24 jam,"Sihombu, Tara bintang, Humbang Hasundutan Regency, North Sumatra 22456",4.5,beroperasi,,,
109,Tuan Nagani Paradise,Wisata Buatan,"18,000","2.248364173890753, 98.67322187664907",24 jam,Humbang Hasundutan,4.6,beroperasi,,,
110,Air Terjun Efrata,Wisata Alam,Gratis,"2.537091727190248, 98.64495212082959",24 jam,"Sosor Dolok, Harian, Samosir Regency, North Sumatra 22396",4.5,beroperasi,,,
111,Air Terjun Sipisopiso,Wisata Alam,"5,000","2.9167551705008496, 98.51951452083213",24 jam,"Desa Tongging, Simanindo",4.6,beroperasi,,,
112,Pantai Gajah Tidur Paropo Silalahi,Wisata Alam,Gratis,"2.831196437896846, 98.52662246315995",24 jam,"Jl. Makam Sidabutar Jalan, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.1,beroperasi,,,
113,Pemandian Air Panas Rianiate,Wisata Alam,Gratis,"2.5307880567488503, 98.7337321919938",24 jam,"Paropo I, Silahisabungan, Dairi Regency, North Sumatra",4.2,beroperasi,,,
114,Bukit Beta Tuk-tuk,Wisata Alam,Gratis,"2.661213384375491, 98.84684237033036",24 jam,"Tomok, Simanindo, Samosir Regency, North Sumatra 22395",4.6,beroperasi,,,
115,Pasir Putih Parbaba,Wisata Alam,"5,000","2.6967247534948746, 98.69005631394812",24 jam,"Desa Huta Bolon, Kecamatan Pangururan",3.8,beroperasi,,,
116,Pantai Batuhoda,Wisata Alam,Gratis,"2.7601236233591098, 98.72538180548797",09.30 - 18.00,"JL. Raya, Cinta Dame, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",4.5,beroperasi,,,
