place-id,place-name,price-per-head,opening-hours,recommend-menu,Fasilitas,address,lat-long,place-type,place-rating,status
22,SATE MADURA Cabang Bundaran BALIGE,,,"Sate Kambing, Sate Ayam",,"Di Sebrang Bank BRI, Di Sebrang Warkop Kak NOVA, Jl. Sisingamangaraja, Balige Lama, Kec. Balige, Sumatera Utara 22312, Indonesia (83M9+J9 Balige II, Toba, Sumatera Utara, Indonesia)","2.3340782,99.0684333",Restoran,5,beroperasi
23,BAKSO PAK RADIT (BAKSO KHAS MALANG),,,"Bakso Kosong, Mie Ayam",,"83M6+C8G, Pardede Onan, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3335714,99.0608357",Restoran,3.6,beroperasi
24,Hutanta Cafe,25.000 - 50.000,,"Kopi Dingin, Juice Nanas Kue Nanas, Madu, Odeng, Nasi Goreng Ayam, Sate Udang Pete, Eskrim Yogurt, Cafe Latte, Fish and Chips, Signature Bukit Coffee, Mr Crab Cakes, Caffè Latte, Sandwich Hutanta, Sparkling Mojito, Pakcoy Ayam, Sop IGA Sapi, Fettucine Carbonara Pasta, Sop Kambing",,"Jl. P. Siantar No.KM 2, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83QJ+8G Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3383059,99.0812835",Restoran,4.5,beroperasi
25,Tepi Danau Bistro,25.000 - 75.000,,"Nasi Goreng Andaliman, Nasi Blackpepper Sapi, Nasi Goreng Kampung, Ayam Bakar Tepi Danau, Air Mineral, Kopi Sanger, Nasi Goreng Seafood, Cappucino, Affogatto, Strawberry Float, Kwetiau Goreng Seafood, Tomyam, Pisang Goreng, Mie Goreng Indonesia, Banana Smoothies, Kopi Tubruk, Thai Iced Tea, Hot Milk, Americano",,"Jl. Pemandian No.1, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M4+PC Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.3343426,99.0561066",Restoran,4.2,beroperasi
26,Kedai Mie Lily,25.000 - 50.000,,,,"83M6+F57, Pardede Onan, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.333661,99.0604164",Restoran,3.7,beroperasi
27,Rujak Agam Balige,,,Aneka Rujak Buah,,"Jl. Patuan Nagari, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M7+MQ Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3341501,99.0644241",Restoran,3.7,beroperasi
28,"BAKSO MAS PANDU ""WONG SOLO""",,,"Mie ayam bakso, Halal",,"Jl. Pemandian, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M4+6R Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.3330227,99.0571114",Restoran,4.5,beroperasi
29,Bakso Dorela,,,"Bakso, Misop, Mie Ayam, Mie Babi, Goreng",,"Jl. Gereja No.Kelurahan, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+9R Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3334426,99.0670326",Restoran,4.6,beroperasi
30,Dunia Bubur,"25,000",,,,"Jl. Gereja No.Kelurahan, Balige II, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+2V Balige II, Toba, Sumatera Utara, Indonesia)","2.3325758,99.0671372",Restoran,4.3,beroperasi
31,Diva Putri Minang,,,,,"Lumban Pea, Kec. Balige, Toba, Sumatera Utara, Indonesia (84X3+5R Lumban Pea, Toba, Sumatera Utara, Indonesia)","2.3479577,99.1046145",Restoran,4,beroperasi
32,Leon Cafe,25.000 - 75.000,,"Nasi Goreng Spesial, Cumi Asin Pedas",,"Pantai Bul Bul, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83XF+82 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3482738,99.0725562",Restoran,4.7,beroperasi
33,warung mak iwan,,,"Mie sop, Mie Goerng, Bakso",,"83J8+MQR, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3317344,99.0668992",Restoran,4.2,beroperasi
34,Warung Makan Muslim Bu Nurul,"25,000",,"Soto Ayam, Belu Tumis Cabe Hijau, Air Kelapa Muda",,"Jl. P. Siantar, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia (83MF+X2 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3349629,99.0725311",Restoran,4.3,beroperasi
35,RM Khas Batak Mata Mual,,,"Arsik Ikan Jahir, Arsik Ikan Mas",,"Jl. Lintas Sumatera No.Desa, Dolok Tolong, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia (82HP+58 Longat, Toba, Sumatera Utara, Indonesia)","2.327934,99.0357583",Restoran,4,beroperasi
36,Rumah Makan Pondok Salero,10.000 - 50.000,,"Nasi Uduk, Lontong Gulai, Sate",,"Jl. Patuan Nagari No.Kelurahan, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia (83M5+CX Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.333572,99.0599248",Restoran,4.2,beroperasi
37,Family Resto,25.000 - 50.000,,Nasi Goreng Ayam,,"Jl. Lintas Sumatera No.57a, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M7+HM Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.333948,99.0641697",Restoran,4.2,beroperasi
38,"RM ISLAM ""NAULI""",,,"Ayam Goreng, Rendang Kerbau, Ikan Mujahir Bakar, Sop Iga Kerbau",,"Jl. Bukit Barisan No.26, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83Q7+25 Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3376082,99.062985",Restoran,5,beroperasi
39,Kedai Bakmi Bahagia 2,25.000 - 50.000,,Mie Kuah,,"Jl. Patuan Nagari No.57 A, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22314, Indonesia (83M7+G2 Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3337655,99.0625259",Restoran,4.1,beroperasi
40,"Kedai Bakmi ""Bahagia"" / ""Sukaria""",25.000 - 50.000,,"Bakmi China, Aneka Jus",,"Jl. Sisingamangaraja No.98, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+RG Napitupulu Bagasan, Toba, Sumatera Utara, Indonesia)","2.3345538,99.0663748",Restoran,4.2,beroperasi
41,Rumah Makan Sigiring Giring,25.000 - 50.000,,Makanan Khas Batak,,"Jl. Lintas Sumatera No.Desa, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22313, Indonesia (82J8+4Q Lintong Nihuta, Toba, Sumatera Utara, Indonesia)","2.3302973,99.0169663",Restoran,4.4,beroperasi
42,Rumah Makan Martabe,25.000 - 50.000,,"Babi Panggang, Ikan Mas Bakar, Ikan Mas Arsik, Saksang, Babi Goreng",,"Jl. Sisingamangaraja No.36A, Ps. Laguboti, Kec. Laguboti, Toba, Sumatera Utara 22381, Indonesia (9428+QR Ps. Laguboti, Toba, Sumatera Utara, Indonesia)","2.3518850000000002,99.117094",Restoran,4.2,beroperasi
43,Rumah Dimsum Balige,25.000 - 50.000,,,,"Jl. Gereja, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara, Indonesia (83PG+V5 Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3371251,99.0754234",Restoran,4.5,beroperasi
44,D'barans Cafe,25.000 - 50.000,,"Nasi Ayam Tofu Seafood, Nasi Ayam Brokoli, Nasi Lele, Nasi Cumi Saos Pedas, Kentang Goreng, Nasi Goreng, Sarsaparilla, Sop Ayam",,"Jl. Gereja, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22311, Indonesia (83H8+XQ Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3299327,99.0669746",Restoran,4,beroperasi
45,SS Fried Chicken x Teduh Balige,25.000 - 50.000,,"Teduh Minuman, Ayam Geprek Ss Fried Chicken, Ayam Spicy Ss Fried Chicken, Ayam Crispy Original, Mineral Botol, Teh Botol Kotak, Orange Nestle, Sauce Spicy SS Fried Chicken, Green Tea",,"Jl. Sisingamangaraja No.130, Balige II, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M8+QR Balige II, Toba, Sumatera Utara, Indonesia)","2.3344353,99.0670483",Restoran,5,beroperasi
46,BMW Coffee,,,"Kerang Rebus, Taro Smoothie, Matcha Latte, Red Velvet, Matcha Latte Coffee",,"83PC+3XQ, Jl. Siborongborong - Parapat, Balige II, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia","2.3352059,99.0724996",Restoran,5,beroperasi
47,Ola Kisat,,,Babi Panggang Karo,,"84X3+7WX, Lumban Pea, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3482477,99.1048534",Restoran,4.6,beroperasi
48,Onand Coffee,25.000 - 50.000,,"Espresso Susu, Coffee After Sex, Vietnam Drip, Sanger, Ice Mocca, Lemon Tea",,"Jl. Patuan Nagari No.89, Pardede Onan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M6+CH Pardede Onan, Toba, Sumatera Utara, Indonesia)","2.3336113,99.0614941",Restoran,4.7,beroperasi
49,Warung Kembar (KHAS BATAK),25.000 - 50.000,,"Saksang Gota, Tanggo Tanggo Gota, Ayam Napinadar, Babi Panggang, Naniarsik",,"Jl. Siborongborong - Parapat No.4, Hinalang Bagasan, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (82HV+CG Hinalang Bagasan, Toba, Sumatera Utara, Indonesia)","2.3285461,99.0438056",Restoran,4.5,beroperasi
50,Rumah Makan SABAS Balige City,,,"Rendang, Sup Buntut, Soto",,"83M8+GFF, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara, Indonesia","2.3338205,99.0661788",Restoran,4.7,beroperasi
51,BPK Karona,25.000 - 50.000,,Babi Panggang Karo,,"Jl. Sisingamangaraja No.Kelurahan, Balige I, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia (83MC+H4 Balige I, Toba, Sumatera Utara, Indonesia)","2.3339252,99.0703293",Restoran,4.3,beroperasi
52,Rumah Makan Khas Karo Tambar Lihe,25.000 - 50.000,,"Sup Daging Babi, Nasi Putih, Babi Panggang Karo Dan Sayur Ubi, Babi Panggang Dan Daging Sup, Sambal Babi Panggang Karo",,"83H3+RW8, Japan Jl. Patuan Nagari, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia","2.3295332,99.0548148",Restoran,4.3,beroperasi
53,Rumah Makan Khas Batak Lamhot,25.000 - 50.000,,"Ikan arsik, Babi Panggang",,"83H3+JWF, Jl. Patuan Nagari, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia","2.3290697,99.0548047",Restoran,4.4,beroperasi
54,Driving Range Restaurant,,,,,"927H+G6F, Lake Toba, North Sumatra 22312, Indonesia","2.3638175,99.0280469",Restoran,4.3,beroperasi
55,Chinese Food Gemar,25.000 - 50.000,,"Mie Goreng Seafood, Mie Pangsit Babi, Mie Pangsit Goreng, Capcai, Nasi Goreng Babi, Bubur Ayam Gemar, Mie Kuah Bab, Mie Pangsit Siantar, Asparagus Sup",,"Jl. Lintas Sumatera No.57a, Lumban Dolok Haume Bange, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83M9+P4 Lumban Dolok Haume Bange, Toba, Sumatera Utara, Indonesia)","2.3343044,99.0677685",Restoran,4,beroperasi
56,The Deck Balige Restaurant & Lounge,50.000 - 75.000,,Steak,,"83M5+RR6, Jl. Pardede Pasir No.10, Kec. Balige, Sumatera Utara 22314, Indonesia","2.3345707,99.0595579",Restoran,3.6,beroperasi
57,Betesda Cafe Balige,25.000 - 50.000,,,,"82WV+PVR, Danau Toba, Sibola Hotangsas, Balige, Toba, North Sumatra 22312, Indonesia","2.346859,99.0446427",Restoran,4.3,beroperasi
58,Istana Pempek Balige,25.000 - 50.000,,"Nasi Goreng Seafood, Nasi Ayam Geprek, Nasi Ayam Cabai Hijau, Udang Goreng Tepung, Nila Sambal Matah, Pempek Asli Ikan Tenggiri Frozen, Sambal Ayam",,"Jl. Tarutung, Simpang By Pass Jl. Lintas Sumatera, Longat, Jalinsum, Toba, Sumatera Utara 22312, Indonesia (82HP+64 Longat, Toba, Sumatera Utara, Indonesia)","2.328012,99.0353074",Restoran,4.7,beroperasi
59,Balige Seafood,50.000 - 75.000,,"Cumi Goreng Tepung, Ikan Kembung Tauco, Seafood Kombinasi, Kakap Panggang, Kangkung Terasi, Nasi Putih, Udang Goreng Tepung, Cumi Saus Padang",,"Jl. P. Siantar No.2, simpang sibulele, Kec. Balige, Toba, Sumatera Utara 22315, Indonesia (83PF+GG Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3363328,99.0738498",Restoran,4.1,beroperasi
60,RM GUMARANG,,,"Ikan Arsik, Masakan Padang",,"Jl. Patuan Nagari No.30, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara, Indonesia (83M7+J7 Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.3341192,99.0631437",Restoran,4,beroperasi
61,Betty bites- Balige,25.000 - 50.000,,,,"Jl. P. Siantar No.KM-2, Tampubolon, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83QJ+9C Sibola Hotangsas, Toba, Sumatera Utara, Indonesia)","2.3384795,99.0810082",Restoran,4,beroperasi
62,RM. Islam Roda Baru,25.000 - 50.000,,"Masakan Padang, Makanan Halal",,"Jl. Patuan Nagari No.9 A Kelurahan, Pardede Onan, Kec. Balige, Toba, Sumatera Utara 22313, Indonesia (83M7+GC Pardede Onan, Toba, Sumatera Utara, Indonesia)","2.3338627,99.0635453",Restoran,4.1,beroperasi
63,Tao Tio Coffee and Resto,25.000 - 50.000,,"Pisang Goreng Coklay Keju, Caramel  Latte, Cappuciono",,"Jl. Dr. Sutomo No.21, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312, Indonesia (83H2+VX Sangkar Nihuta, Toba, Sumatera Utara, Indonesia)","2.3296704,99.0523756",Restoran,4.5,beroperasi
64,Rapindo cafe balige,,,"Indomie kuah atau goreng, nasi goreng",,"82XV+3GF, Lumban Silintong, Toba, Sumatera Utara, Indonesia","2.3476887,99.043784",Restoran,4,beroperasi
65,LEO'S Restaurant, 50.000 – 75.000  ,,"Ikan Bakar Nila, Ayam Napinadar, Capcay, Nasi Goreng Special, Lobster Steam, Leo's Salad, Lake Toba Lobster, Tuak and Arak, French Fries, Fried Fresh Fish, Arsik Gold Fish, Banana Pancakes",,"Jl. Lkr. Tuktuk No.Kelurahan,Tuktuk Siadong,Simanindo,Kabupaten Samosir,Sumatera Utara 22395","2.6768141740782805,98.8530369269809",Restoran,4.7,beroperasi
66,Restoran Tabo Toko Roti dan Sangrai Kopi, 50.000 – 75.000  ,,"Cake, Fish and chips, Marble ake & Passion Fruit Cake",,"Jl. Lkr. Tuktuk No.115 Toba, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6708972237596007,98.8554985238334",Restoran,4.4,beroperasi
67,Joe's Restaurant, 25.000 – 50.000  ,,"Sira Pege Panggang, Fried Noodle Special, Roasted Pork, Fish Barbeque, Pork Taco, Indomie Kuah, BBQ Pork Ribs, Grilled Fish Grilled Chicken and Meat, Napinadar",,"Kabupaten Samosir, Sumatera Utara 22395","2.6774724226615736,98.84396579499682",Restoran,4.7,beroperasi
68,Today's Cafe, 50.000 – 75.000  ,,"Gado Gado, Chicken Steak, Vegetable Rendang, Fish Ata Batak, Banana Pancake, Sate Ayam, Nasi Goreng, Pork Steak, Potato Randang, Yogurt with Fruit Muesli, Yoghurt with Fresh Fruits, Pot of Tea White Rice, Vegetable Randang White Rice, Mixed Fruit Crepe, Banana Porridge, Pineapple Fritters, Pot of Black Tea",,"MV96+H28, Jalan Linkar 30, Tuktuk Siadong, Island, Kabupaten Samosir, Sumatera Utara 22395","2.669223578817372,98.86002482383338",Restoran,4.7,beroperasi
69,Damasus Nataboan Resto, 25.000 – 50.000  ,,"Nilai Tauco, Lobster Saus Tiram, Ikan Nila Bakar, Krimbat Kentang, Kopi Hitam, Nasi Putih Enak, Baby Lobster, Ikan Nila Goreng, Nila Arsik, Udang Lobster Goreng, Tumis Tauge",,"MWR9+QW Sibaganding, Kabupaten Simalungun, Sumatera Utara","2.6922178221662336,98.91989431219872",Restoran,3.9,beroperasi
70,Maruba Restaurant, 50.000 – 75.000  ,,"Sambal Tuktuk, Ayam Semur & Rice, Tofu, Lime Juice, Tilapia Fish Curry, Sangsang, Galangal Fried Chicken Ayam Kalasan, Garlic Bread, Bruschetta, Babi Panggang, Homemade Wheat Toast Egg Avacado Toast, Insalata Di Avocado, Scampi Alla Griglia, Sayur Ubi Tumbuk, Grilled Tilapia Lake Fish, Napinadar Chicken, Homemade Wheat Toast Egg Avacado, Pesce Di Lago, Pork Curry, BBQ Fish ",,"Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6752818601853043,98.85780589499686",Restoran,4.6,beroperasi
71,Alyssa Restaurant Pizza, 50.000 – 75.000  ,,"Pizza Andaliman, Grilled Fish, Ikan Bakar, Ikan Goreng, Gado Gado Vege, Nasi Goreng, Babi Goreng Babi Panggang, Lobster Grill, Grill Lobster, Pizza Margherita, Satay and Chips, Pizza Vegetarian, Pizza Margarita, Cap Cay Veg, Grill Pork and Chips, Lobster Soup, Fish Chips",,"Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.6712202893462944,98.85606911219867",Restoran,4.4,beroperasi
72,Jenny's Restaurant,75.000 - 100.000,,"Grilled Fish, Grilled Lake Fish, BBQ Lake Fish, Tauco Udang, Ikan Nila Panggang, Sate Babi, Rendang Beef, Avocado Juice, Grilled Pork, Roasted Pork, Chap Chai with Chicken, Babi Panggang Kentang, Spaghetti Bolognese, Lake Lobster, Passion Fruit Juice, Cumi Goreng Tepung, Nasi Goreng Spesial, Lake Prawns",,"MVG3+RQG, Jl. Lkr. Tuktuk, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.677459113807335,98.85435886616037",Restoran,4.3,beroperasi
73,Biwa Cafe & Resto, 25.000 –50.000  ,,"Ikan, Varian Jus, Jus Jeruk, Indomie Kuah Teh Manis Panas, Sanh, Ayam Bakar, Coffee Milk, Ice Cream, Avocado Float, Mietiaw Goreng Kangkung Belacan, Nasi Goreng Andaliman, Milk Coffe, Avocado Coffe, Tahu Pedas Spicy Tofu, Ayam Sambal Andaliman",,"Jl. Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174","2.6956951874662036,98.92295445452568",Restoran,4.3,beroperasi
74,Rumah Makan Holong Ni Dainang, 25.000 – 50.000  ,,"Grilled Fish, Fried Tofu and Fried Tempeh, Bintang Beers, Iced Tea & Lemon Tea",,"Jl. Lkr. Tuktuk, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.670699761270231,98.85663996616034",Restoran,4.7,beroperasi
75,Rosalie's Beer Garden And Restaurant, 50.000 – 75.000  ,,"Gado Gado, Tahu Goreng Sambal, Perkedel, Chicken Curry, Sweet and Sour Pork, Chili Aubergine",,"MV96+M6M, Jl. Lkr. Tuktuk, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara","2.6693920724237614,98.86069054289081",Restoran,5,beroperasi
76,Warung Butet's, 25.000 – 50.000  ,,"Bakwan, Pancakes with Mixed fruits",,"Jl. Lkr. Tuktuk No.26, Tuktuk Siadong, Simanindo, Kabupaten Samosir, Sumatera Utara 22395","2.671779661014703,98.86091942383335",Restoran,4.8,beroperasi
