NO,KABUPATEN,OBJEK / DESTINASI WISATA,FASILITAS UMUM,FASILITAS PENUNJANG,ALAMAT,WAKTU OPERASIONAL,RATING BPODT
,,Water Front City Pangururan,"toilet
 tempat duduk
 spot foto
 parkir
 gazebo","cafe / resto
 homestay
 hotel
 umkm
 toko souvenir / toko oleh-oleh","Pardomuan I , Kecamatan Pangururan","senin - jumat
 08.00 - 20.00
 
 sabtu - minggu
 08.00 - 23.00
 
 pertunjukan air mancur :
 19.00 / 21.00",
,,Huta Siallagan,"parkir
 toilet
 tempat duduk batu","souvenir shop
 spot kuliner
 penginapan (homestay)","Desa Siallagan, Kecamatan Simanido",,
,,Desa Wisata Tomok,"parkir
 toilet
 mushala
 pusat informasi","souvenir shop
 pasar tomok
 umkm 
 rumah makan / restoran
 penginapan","Desa Tomok, Kecamatan Simanindo","senin - minggu
 08.00 - 17.00",
22,TAPANULI UTARA,Kawah Sipoholon,"Parkir
 kamar ganti
 toilet
 gazebo","kolam renang
 penginapan
 spot kuliner non halal","Jla. Tarutung, Tapian Nauli, Sipoholon","senin - minggu
 09.00 - 18.00",
23,,Air Terjun Batu Manarus,,,"Lobutalpe, Hutabarat, kecamatan Pahae Julu","senin - minggu
 07.00 - 17.00",hidden gem
24,,Huta Ginjang,"parkir
 toilet
 gazebo / saung
 mushala","warung makanan dan minuman
 panggung hiburan","Desa Dolok Martumbur, Kecamatan Muara","senin - minggu
 07.00 - 18.00",
25,DAIRI,"Taman Wisata Alam Sicike-Cike
 (Danau Dan Air Terjun Sicike-Cike)","parkir
 toilet
 mushala
 gazebo","warung makan
 area piknik","Desa Lae Hole, Kecamatan Parbuluan","senin - minggu
 09.00 - 17.00",
26,,Panatapan Puncak Sidiangkat,"toilet umum
 parkir
 ATM
 wifi area","cafetaria
 homestay
 mini garden
 Balai Pertemuan","Jalan Subulussalam- Sidikalang, Kecamatan Sidikalang","senin - minggu
 08.00 - 18.00",
27,,Bukit Siattaratas,"parkir
 toilet","warung makanan dan minuman
 persewaan perlengkapan camping
 camping area","Desa Paropo, Kecamatan Silahisabungan","senin-minggu
 06.00 - 17.00",
28,,Paropo,"parkir
 toilet
 spot wifi","Balai Pertemuan
 cafetaria
 penginapan
 area perkemahan","Desa Paropo, Kecamatan Silahisabungan",07.00 - 17.00,
29,KARO,Bukit Gundaling,"parkir
 mushala
 toilet
 gazebo","cafetaria
 penginapan
 souvenir shop","Jl. Letjen Jamin Ginting, Gundaling I, Berastagi","senin-minggu
 06.00 - 18.00",
30,,Air Terjun Sipiso-Piso,"parkir
 toilet
 gazebo
 Gereja Katolik","souvenir shop
 warung makan","Desa Tongging, Kecamatan Merak","senin-minggu
 08.00 - 17.00",
31,,Danau Lau Kawar,"parkir
 toilet
 tempat ibadah
 pos keamanan","resto/ cafetaria
 pos kesehatan
 toilet
 penginapan
 guide","Desa Kutagugung, Kecamatan Naman Teran","senin-minggu
 08.00 - 17.00",
32,,Taman Alam Lumbini,"parkir
 toilet
 gazebo
 pusat informasi","restoran
 souvenir shop
 area bermain anak
 peralatan fitness","jalan Barusjahe, Dolat Rayat, Kecamatan Dolat Rayat. Di dalam komplek International Buddhiest Center","senin - minggu
 09.00 - 17.00",
33,PAKPAK BHARAT,Air Terjun Lae Pinang,,,"Dusun Lae Pinang, Desa Malum, Kec Sitellu Tali Urang Jehe","senin - minggu
 10.00 - 16.00",hidden gem
34,,Air Terjun Lae Mbilulu,"toilet umum
 parkir
 Mushala","Warung makan
 persewaan alat camping","Desa Wisata Prongil, Kecamatan Tinada","senin - minggu
 10.00 - 16.00",
35,,Air Terjun Lae Singgabit,,,"Dusun Kuta Delleng, Desa Mahala, Kecamatan Tinaha","senin - minggu
 10.00 - 16.00",hidden gem
