place,type,entry-fee,rating,addons,add,service-hour,review,
Batu lihi star,Wisata Alam,5.000 - 10.000,4.3,"udara sejuk, pemandangan sunset","QRHC+G25, Jl. Pematang Pua - Parapat, Pematang Tambun Raya, Kec. Pematang Sidamanik, Kabupaten Simalungun, Sumatera Utara 21186",10.00 - 19.15,"""Salah satu sudut untuk menikmati pemandangan danau toba dan pulau samosir. Jaraknya tidak terlalu jauh dari kota parapat. Untuk mencapainya bisa menelusuri jalan arah kota pematang siantar. Sepanjang perjalanan anda akan disuguhi pemandangan hutan hujan tropis yg apik sekali, udaranya sejuk juga, jalannya juga termasuk mulus meskipun ada beberapa titik yg rusak. Tapi overall ok bgt buat di agendakan untuk ke sini. Selain itu tidak jauh dari spot ini juga ada kebun teh yang luas sekali.

Menurut saya best view dari spot ini ketika sunset dan ketika cuaca sedang cerah. Minusnya sih tidak banyak tenant makanan ya, jadi sebisa mungkin yg ingin berkunjung ke sini membawa bekal ya.""",
Batu Maroppa,Wisata Alam,Gratis,4.5,pemandangan indah,"FPJ8+C6P, Tamba Dolok, Kec. Sitio-Tio, Kabupaten Samosir, Sumatera Utara 22391",24 jam,"""Akses bs dr dermaga tamba ke lokasi. Bs juga dari bukit holbung lanjut menuju titik lokasi di gmap. Akan ada rumah warga yang bisa menjadi lokasi parkir. Untuk guide ada anak anak  warga setempat. Belum ada HTM. Masih sukarela berapa. Hiking santai 1 jam naik. Pemandangan indah dari batu maroppa melunaskan rasa lelah karena pendakian yang menanjak ini""",
Togaraja,Wisata Alam,5.000 - 15.000,4.7,"joglo, tempat berkemah","GMJ3+24, Partungko Naginjang, Kec. Harian, Kabupaten Samosir, Sumatera Utara 22391",24 jam,"""Tempatnya sangat bagus, dan jauh dari keramaian, ada toilet yang bersih dan listrik di pintu masuk
Untuk biaya camp : masuk 15K per orang + parkir sepeda motor 5K
Dsni anginya sangat kencang, harap camp disini pas cuaca bagus , dan pastikan frame camp kuat dengan pacak yang kuat juga. Tersedia beberapa joglo""",
Pantai Pulo Tao,Wisata Alam,Gratis,4.5,"area rekreasi, warung lokal, pasir putih yang bersih","Sitalolo No.Desa, Cinta Dame, Simanindo, Samosir Regency, North Sumatra 22395 QP4M+PR",09.00 - 17.30,"""Pantai Pulo Tao adalah destinasi wisata yang terletak di Pulau Samosir, Sumatera Utara. Pantai ini dikenal dengan suasana yang tenang dan pemandangan alam yang menawan.

Pantai Pulo Tao menawarkan pasir putih yang bersih dan air Danau Toba yang jernih, cocok untuk berenang dan berjemur. Suasana di pantai ini relatif sepi, menjadikannya ideal untuk bersantai dan menikmati ketenangan. Selain itu, pemandangan di sekitar pantai yang dikelilingi oleh pegunungan dan vegetasi tropis menambah daya tariknya.

Fasilitas di Pantai Pulo Tao mungkin sederhana, dengan beberapa warung lokal untuk makanan dan minuman. Akses ke pantai ini cukup mudah dari beagai titik wisata di Samosir.

Secara keseluruhan, Pantai Pulo Tao adalah pilihan yang baik untuk menikmati keindahan alam dan suasana damai di Samosir.""",
Desa Wisata Sigapiton,Wisata Alam,Gratis,4.6,penduduk ramah,"JW2H+4QP, Unnamed Road, Motung, Ajibata, Toba, North Sumatra 22386",07.00 - 18.00,"""Kami sampai di Kaldera pukul 7 pagi, saat itu warung2 masih tutup, kami memutuskan explore tempat lain dan menemukan lokasi desa ini.

Jalanan menuju desa ini sangat terjal, sudah ada rigid namun hanya dapat dilewati 1 mobil yang bertenaga besar seperti fortuner, sampai di ujung titik ini kami disambut dengan hangat oleh Bapak Kepala Dusun yang rumahnya tepat di depan Danau Toba, ""Welcooomee!!"" katanya. Padahal kami tidak ada yg saling mengenal 😂

di desa ini hanya ada sekolah TK SD maka dari itu pemuda di desa ini sedikit, itulah kenapa Pak Kepala Dusun tadi sangat ramah, beliau mengajak ngobrol banyak hal, ingin sekali desa ini kedepannya menjadi terkenal.

Harapannya dengan tulisan saya di sini, orang mau mencoba berkunjung kemari, selain desanya sangat tenang, tentram, pemandangannya sangat indah.""",
Menara Pandang Simanindo,Wisata Alam,5.000 - 7.000,4.5,"gazebo, spot foto","PQX2+656, Simanindo Sangkal, Simanindo, Kabupaten Samosir, Sumatera Utara",24 jam,"""Pertama singgah karena ga paham tempat apa,
Dari atas bisa lihat rumah adat juga

Pagi pagi kesini pintu masih tutup sehingga motor parkir di jalan raya. Naik ke atas ternyata view bagus, ada juga gedung tapi tidak terurus,
Semua kosong
View bagus amazing
Saya sangat suka sekali

Smoga bisa di urus dengsn baik""",
Bukit Burung,Wisata Alam,Gratis,4.8,"pemandangan danau, udara sejuk","JMJ3+MXF, Siboro, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara",24 jam,"""View nya bagus. Cuman kurang di prasarana pelengkap aja. Semoga semakin ramai dan bisa seperti tmp wisata viral lain. Tapi harus yang long lasting ya.""",
Air Terjun Tombak Pangaribuan,Wisata Alam,Gratis,4,sejuk,"GRJ8+JPW, Palipi, Kec. Palipi, Kabupaten Samosir, Sumatera Utara 22393",24 jam,Tempat ini cocok bagi yg suka tantangan dan sekaligus sebagai tempat untuk berdoa pada Tuhan dgn keindahan alam dan udara yg begitù menyejukkan.👍👍👍 …,
Pantai Silalahi,Wisata Alam,Gratis,4.4,tersedia musholla,"QGVH+V4Q, Silalahi III, Kec. Silahsabungan, Kabupaten Dairi, Sumatera Utara",08.00 - 20.00,"""Pemandang indah dari danau Toba , melihat langsung bukit2 dengan hamparan Padang rumput yang indah.

Untuk menuju kemari harap periksa kondisi kendaraan anda, isi full BBM, hati hati Jalan mulus tapi berliku dan licin

Tersedia Musholla An-nur dikaji bukit""",
Aek Rangat Pangururan,Wisata Alam,10.000 - 15.000,4.3,tersedia tempat makan,"JM9G+F6 Aek Rangat, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392",24 jam,"""Gratis untuk mandi air hangat, tidak di pungut bea masuk, cukup makan atau minum sesuai menu yang tersedia, tidak ada pungutan lain.
Dijamin kunjungan anda berkesan.""",
PENATAPAN PARHALLOW SIGARANTUNG,Wisata Alam,Gratis,4.6,"pemandangan danau, udara sejuk","JV8C+WWW, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395",08.00 - 23.00,"""permata dari pit-stop! Setelah perjalanan yang dingin dan hujan ke atas bukit, Parhallow Viewpoint and Coffee adalah pelukan hangat yang kami butuhkan dengan secangkir coklat panas yang disajikan oleh seorang gadis kecil yang lucu. Kenyamanan murni dalam cangkir. Dan pisang gorengnya—yang renyah, berwarna keemasan, dan mengembang dengan indah—terasa seperti piala yang layak diterima karena berhasil bertahan di jalanan basah.""",
Batu Gantung,Wisata Alam,15.000 - 20.000,4.5,"pemandangan selama perjalanan bagus, boat","MWQF+9P3 Lake Toba, Kabupaten Simalungun, Sumatera Utara 21174",09.30 - 17.30,"""Selalu gak pernah bosen liburan ke Danau Toba, suasana dan alam yang selalu asri dan nyaman untuk menghabiskan waktu bersama keluarga.

Sewa Boat untuk sampai ke Batu Gantung cerita Legenda Danau Toba
Untuk sewa boat harga bervariasi tergantung besar boat 🚤
""",
Gunung Pusuk Buhit,Wisata Alam,Gratis,4.7,"jalur tracking, sunset, sunrise","JM22+6J8, Ginolat, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",24 jam,"""Bagus, memang ini gunubg sakaral. Tapi, tak kalah ciamik dari segi pemandangan, sangat recomended buat di daki. Jaga attitude saat mendaki karena masih kental akan kepercayaan masyarakat lokal dan masih rutin di datangi peziarah juga.""",
Bukit Sipolha,Wisata Alam,5.000 - 10.000,4.6,"toilet, camping ground","PVM5+XP3 Bukit Sipolha, Sipolha Horison, Pematang Sidamanik, Simalungun Regency, North Sumatra 21186",24 jam,"""Jalan masuk dri gapura lumayan bagus, curam, dan ada sekitar 300 mtr-an jln yg beatu dan blm beraspal. Biaya parkir 5, perorg 5. Kamar mandi lumayan bersih. Ada 2 destinasi, puncak sipolha (ini asik dn keren) walaupun cma dataran tanah gitu aja. 1 lg, camping ground dipinggir pantai.""",
Air Terjun Janji,Wisata Alam,Sukarela,4.6,"pemandian terpisah laki laki dan perempuan, warung makanan","8RQ8+Q8 Tipang, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",24 jam,"""Pemandangan air terjunnya sangat indah, lokasi bersih ada tempat pemandian terpisah antara laki laki dan perempuan, masuk tidak dipungut bayaran, hanya ada kotak (dari kardus) untuk memberi sukarela tanpa diawasi (memberi atau tidak, tidak masalah) sekeliling terdapat warung warung makanan (ikan mujahir goreng dan mi gomaknya mantap)""",
Gua Liang Sipege,Wisata Budaya / Sejarah,Gratis,"4,8",Tempat bersejarah,"8452+FP3, Hutagaol Peatalun, Kec. Balige, Toba, Sumatera Utara 22312",24 jam ,"""Mari sama2 kita jaga dan lestarikan alam kita.""",
Monumen Raja SONAKMALELA,Wisata Budaya / Sejarah,Gratis,"4,4",Spot foto,"83M8+MMM, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara", 24 jam,"""ada pedagang diluar pagar
kabel lampu, kurang memperindah suasana""",
Makam Sisingamangaraja XII,Wisata Budaya / Sejarah,Gratis,"4,5",tempat sejarah,"82JX+8Q3, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara 22312",24 jam ,"""Bagus tapi kurang Terawat""",
Desa Adat Ragi Hotang,Wisata Budaya / Sejarah,Gratis,"4,5",desa dengan nuansa budaya yang kental,"8293+6WP, Meat, Kec. Tampahan, Toba, Sumatera Utara 22312",24 jam,"""suasananya sangat tenang , penduduk sekitar juga ramah .
Tempat yg menurutku masih sakral .
Didekat sini juga ada aliran sungai yg keren dan berdampingan dengan persawahan""",
Monumen Perang Dunia II,Wisata Budaya / Sejarah,Gratis,4.2,monumen sejarah,"C5V4+8FW, Jl. Porsea, Ps. Porsea, Kec. Porsea, Toba, Sumatera Utara 22384",24 jam,"""Monumen peringatan perjuangan pemuda pejuang Toba Porsea di masa perjuangan untuk merebut kemerdekaan negeri dari peudakan kolonialisme dan peudakan.""",
Monumen D.I. Panjaitan ,Wisata Budaya / Sejarah,Gratis,4.8,monumen sejarah,"83M7+RJ4, Napitupulu Bagasan, Kec. Balige, Toba, Sumatera Utara",24 jam,"""ketika melihat bangunan nya akan terlihat biasa,tapi history sejarah yg melekat di balik kisah tugu tersebut sangat luar biasa dari tokoh Pahlawan kita Bapak D.I PANJAITAN""",
Mual Sipangolu (Mual Sisingamangaraja),Wisata Budaya / Sejarah,Gratis,4.9,"toilet, kolam","8RFW+HF7, Jl. Muara Aek Sipangolu, Simangulampe, Kec. Bakti Raja, Kabupaten Humbang Hasundutan, Sumatera Utara 22457",24 jam,"""Airnya segar, ada kolamnya dan pancuran langsung ke kolam, ada juga kamar mandi psah antara laki² dan perempuan.
Sewaktu kesana blm ada pungutan biaya apapun.""",
Mual Sirambe,Wisata Budaya / Sejarah,Gratis,4.6,"ihan batak, mata air","84WF+FRV, Sitangkola, Kec. Laguboti, Toba, Sumatera Utara 22381",24 jam,Mual Sirambe Nauli dikenal sebagai sumber kehidupan atau sumber air bagi masyarakat sekitar.,
Desa Wisata Tomok Parsaoran,Wisata Budaya / Sejarah,10.000 - 30.000,4.3,"museum batak, komplek makam, rumah adat","Jl. Makam Sidabutar Jalan, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395 MV26+PC",24 jam,"""Bernuasa magis tp lebih kepada histori.
Menyenangkan dan tempat juga tertata walau sedikit sempit karena bagian jalan terisi jualan ole2 khas samosir""",
