source_record_id,ground_truth,predicted_auto_match,review_batch
review_name_70e20440eecdfc78,MATCH,false,ambiguous_all
review_name_e5d4dd86f3abb9ca,MATCH,false,ambiguous_all
review_name_d6037d0829e2ddf2,MATCH,false,ambiguous_all
review_name_d18dd07c51788e94,MATCH,false,ambiguous_all
review_name_65047d70408ba39f,NO_MATCH,false,ambiguous_all
review_name_3cc7050e13c5269e,NO_MATCH,false,ambiguous_all
review_name_2e6ba444520d6eee,NO_MATCH,false,ambiguous_all
review_name_8ff9ad4f859e0e6a,NO_MATCH,false,ambiguous_all
review_name_03a8abec1b0ca794,NO_MATCH,false,ambiguous_all
review_name_0bb8914774dd7c8c,NO_MATCH,false,ambiguous_all
review_name_b80fd32f902f93e4,NO_MATCH,false,ambiguous_all
review_name_0fbdeaf95a744f2e,NO_MATCH,false,ambiguous_all
review_name_80e95ddcc94603d7,MATCH,false,ambiguous_all
review_name_e322b42b23a44d13,NO_MATCH,false,ambiguous_all
review_name_a2dcc3860e20d0d1,NO_MATCH,false,ambiguous_all
review_name_cec457bdf52af880,MATCH,false,ambiguous_all
review_name_73eaf2274a885cfc,NO_MATCH,false,ambiguous_all
review_name_5f25bc950668d63e,NO_MATCH,false,ambiguous_all
review_name_16972a68574754e7,NO_MATCH,false,ambiguous_all
review_name_d4b0398e3c28d6b7,MATCH,false,ambiguous_all
review_name_c2a609949b4fcfd2,MATCH,false,ambiguous_all
review_name_8bbfbab33cc03d4a,MATCH,false,ambiguous_all
review_name_e1e21d6db5a0f21c,MATCH,false,ambiguous_all
review_name_7c9e31920d2cc176,MATCH,false,ambiguous_all
review_name_33fa62f53474413d,MATCH,false,ambiguous_all
review_name_c1c75f6d948bfffe,MATCH,false,ambiguous_all
review_name_33b7d942a560a12c,MATCH,false,ambiguous_all
review_name_43717fc2168a2421,MATCH,false,ambiguous_all
review_name_88e099bf9efafaf1,MATCH,false,ambiguous_all
review_name_7e8821af2c1ab12a,MATCH,false,ambiguous_all
review_name_4316a6171d946edc,MATCH,false,ambiguous_all
review_name_10d3849e72b7048e,MATCH,false,ambiguous_all
review_name_fb998756f9860387,MATCH,false,ambiguous_all
review_name_428dd4ed90feed7f,NO_MATCH,false,ambiguous_all
review_name_30e1724245f7c23e,MATCH,false,ambiguous_all
review_name_1e319144d98da670,MATCH,false,ambiguous_all
review_name_f34ad81698bc87b7,UNCERTAIN,false,ambiguous_all
review_name_1ce15dbab6a5a2b1,MATCH,false,ambiguous_all
review_name_d778a065b469b1a9,MATCH,false,ambiguous_all
review_name_81f37663ec1e3ef9,MATCH,false,ambiguous_all
review_name_0bdaccec7b74c9df,UNCERTAIN,false,ambiguous_all
review_name_884d772c396848dd,MATCH,false,ambiguous_all
review_name_b388b80e502087cd,UNCERTAIN,false,ambiguous_all
review_name_0955a82b4bc00ebb,MATCH,false,ambiguous_all
review_name_5d5543fd4b1e5cd6,MATCH,false,ambiguous_all
review_name_2c7a0e89604a9e8e,NO_MATCH,false,ambiguous_all
review_name_cc266fc47f918a45,NO_MATCH,false,ambiguous_all
place_src_da902dd09fa30170,NO_MATCH,true,fuzzy_auto_all
place_src_f0edf02a4735f6a6,MATCH,true,fuzzy_auto_all
place_src_76032f4393558d5c,MATCH,true,fuzzy_auto_all
place_src_6de71d2fefc357d7,MATCH,true,fuzzy_auto_all
place_src_08b87749bac95522,MATCH,true,fuzzy_auto_all
place_src_9538a6b74b0b558e,MATCH,true,fuzzy_auto_all
review_name_00e04211fcb28028,MATCH,true,exact_auto_sample
review_name_01c46169133a0218,MATCH,true,exact_auto_sample
review_name_02ee719033b3994f,MATCH,true,exact_auto_sample
review_name_03e607156ea52918,MATCH,true,exact_auto_sample
review_name_0573fb6a34157486,MATCH,true,exact_auto_sample
review_name_05da3d524f36f700,MATCH,true,exact_auto_sample
review_name_07e67b352a426d3c,MATCH,true,exact_auto_sample
review_name_0810aa66269c39bb,MATCH,true,exact_auto_sample
review_name_0ad3f71303f5ce8e,MATCH,true,exact_auto_sample
review_name_0bf64bb661fe0ccc,MATCH,true,exact_auto_sample
review_name_0c100ee38bab42f3,MATCH,true,exact_auto_sample
review_name_0d46a6c9af0c8ff6,MATCH,true,exact_auto_sample
review_name_0dafd68958abe16e,MATCH,true,exact_auto_sample
review_name_0fdfd84a4c3daa5e,MATCH,true,exact_auto_sample
review_name_13f1d92edbef14c2,MATCH,true,exact_auto_sample
review_name_f3c37c4afd9ccd34,MATCH,true,exact_auto_sample
review_name_f44015c96b635ef3,MATCH,true,exact_auto_sample
review_name_f7586f1f5e8390b0,MATCH,true,exact_auto_sample
review_name_f78d6e0f41a519f5,MATCH,true,exact_auto_sample
review_name_f807b644beb4b07d,MATCH,true,exact_auto_sample
review_name_f9d118cc636823d8,MATCH,true,exact_auto_sample
review_name_fa12463c9a93667e,MATCH,true,exact_auto_sample
review_name_fa5b3886c0ec4cf3,MATCH,true,exact_auto_sample
review_name_fd319a65a907a99b,MATCH,true,exact_auto_sample
review_name_fd97f5aa361efbeb,MATCH,true,exact_auto_sample
review_name_fd9bb65a1544e0e6,UNCERTAIN,true,exact_auto_sample
review_name_fe0a4db19e0b669e,MATCH,true,exact_auto_sample
review_name_fe4a31db2394f637,MATCH,true,exact_auto_sample
review_name_fe66fb1c3a2f7692,MATCH,true,exact_auto_sample
review_name_fe90e4ae46c097f1,MATCH,true,exact_auto_sample
